county,precinct,office,district,party,candidate,votes
Union,ALL,President of the US,,REP,Trump,4038
Van Buren,ALL,President of the US,,REP,Trump,2785
Wapello,ALL,President of the US,,REP,Trump,9470
Warren,ALL,President of the US,,REP,Trump,19459
Washington,ALL,President of the US,,REP,Trump,7118
Wayne,ALL,President of the US,,REP,Trump,2426
Webster,ALL,President of the US,,REP,Trump,10838
Winnebago,ALL,President of the US,,REP,Trump,3636
Winneshiek,ALL,President of the US,,REP,Trump,6426
Woodbury,ALL,President of the US,,REP,Trump,25923
Worth,ALL,President of the US,,REP,Trump,2714
Wright,ALL,President of the US,,REP,Trump,3853
