county,candidate,votes,precinct,office,district,party
CALDWELL,Harris,6517,ALL,President of the US,,DEM
CALDWELL,Oliver,91,ALL,President of the US,,LIB
CALDWELL,Stein,95,ALL,President of the US,,GRN
CALDWELL,Ayyadurai,0,ALL,President of the US,,OTH
CALDWELL,Cuellar,0,ALL,President of the US,,OTH
CALDWELL,DeLaCruz,1,ALL,President of the US,,OTH
CALDWELL,Fox,0,ALL,President of the US,,OTH
CALDWELL,Sonski,1,ALL,President of the US,,OTH
CALDWELL,West,5,ALL,President of the US,,OTH
CALHOUN,Trump,5936,ALL,President of the US,,REP
CALHOUN,Harris,1852,ALL,President of the US,,DEM
CALHOUN,Oliver,24,ALL,President of the US,,LIB
CALHOUN,Stein,16,ALL,President of the US,,GRN
CALHOUN,Ayyadurai,0,ALL,President of the US,,OTH
CALHOUN,Cuellar,0,ALL,President of the US,,OTH
CALHOUN,DeLaCruz,0,ALL,President of the US,,OTH
CALHOUN,Fox,0,ALL,President of the US,,OTH
CALHOUN,Sonski,0,ALL,President of the US,,OTH
CALHOUN,West,0,ALL,President of the US,,OTH
CALLAHAN,Trump,6173,ALL,President of the US,,REP
CALLAHAN,Harris,758,ALL,President of the US,,DEM
CALLAHAN,Oliver,33,ALL,President of the US,,LIB
CALLAHAN,Stein,11,ALL,President of the US,,GRN
CALLAHAN,Ayyadurai,1,ALL,President of the US,,OTH
CALLAHAN,Cuellar,0,ALL,President of the US,,OTH
CALLAHAN,DeLaCruz,2,ALL,President of the US,,OTH
CALLAHAN,Fox,0,ALL,President of the US,,OTH
CALLAHAN,Sonski,0,ALL,President of the US,,OTH
CALLAHAN,West,0,ALL,President of the US,,OTH
CAMERON,Trump,60925,ALL,President of the US,,REP
CAMERON,Harris,54156,ALL,President of the US,,DEM
CAMERON,Oliver,442,ALL,President of the US,,LIB
CAMERON,Stein,428,ALL,President of the US,,GRN
CAMERON,Ayyadurai,2,ALL,President of the US,,OTH
CAMERON,Cuellar,1,ALL,President of the US,,OTH
CAMERON,DeLaCruz,15,ALL,President of the US,,OTH
CAMERON,Fox,0,ALL,President of the US,,OTH
